id,question,option_a,option_b,option_c,option_d,correct_answer,explanation,category,teacher,ai_explanation
41,"68歲男性因反覆嘔吐與腹脹就醫,近3天無排氣和排便。約10年前他曾經接受過腹部手術,腹部聽診有高頻金屬音,X-ray 顯示多個腸道內氣液平面(air-fluid levels)。若無併發症。下列何者為首選處置?",(A)立即手術切除腸段,(B)靜脈輸液、腸胃減壓與觀察,(C)低劑量止痛藥與口服瀉劑,(D)安排腹部磁振造影檢查以排除腹腔內器質性病變,B,病患表現為典型腸阻塞(Small bowel obstruction)，最可能由10年前手術沾黏引起。在「無腸道缺血、壞死、穿孔等嚴重併發症」的黃金原則前提下，首選一線處置為保守支持治療：Bowel rest (禁食)、積極靜脈輸液補水與放置鼻胃管進行胃腸減壓，並同步進行嚴密臨床觀察。,腹部常見症狀(含急性腹痛),王俊偉,"📖 chatGPT 學長背景知識  
- 本題患者為68歲男性，主訴『反覆嘔吐』與『腹脹』，且近3天無『排氣』和『排便』，提示可能存在腸道梗阻。  
- 腹部聽診發現『高頻金屬音』，這是腸道活動增加的表現，通常見於腸道梗阻。  
- X-ray顯示『氣液平面』，進一步支持腸道梗阻的診斷。  
- 若無併發症，首選處置應為『靜脈輸液』以補充水分和電解質，『腸胃減壓』可減輕腸道壓力，並觀察病情變化。  
- 立即手術切除腸段通常適用於有併發症（如腸壞死或穿孔）的情況，而本題未提及此類情況。  
- 低劑量止痛藥與口服瀉劑不適合，因為可能會延遲診斷或加重病情。  
- 腹部磁振造影檢查雖可提供更多資訊，但在無併發症的情況下，並非首選處置。  
因此，正確答案為(B)靜脈輸液、腸胃減壓與觀察。"
42,"35 歲女性主訴右下腹疼痛已有6個月,無便秘、腹瀉或與進食關聯的症狀,咳嗽或起身時痛感會加劇。理學檢查發現局部有可觸痛點。最可能的診斷為何?",(A)急性盲腸炎(acute appendicitis),(B)大腸激躁症(irritable bowel syndrome),(C)急性大腸憩室炎(acute diverticulitis),(D)前腹部皮神經擠壓症(anterior cutaneous nerve entrapment),D,疼痛長達 6 個月，且與進食、排便等腸道蠕動功能完全無關，但局部有明顯壓痛點，並與動作、起身、咳嗽等造成腹壁張力增加的「身體運動」清晰連動相關，符合典型前腹部皮神經擠壓症(ACNES)的診斷。,腹部常見症狀(含急性腹痛),王俊偉,"📖 chatGPT 學長背景知識  
- 患者年齡：『35歲』女性  
- 症狀：『右下腹疼痛』持續『6個月』，無『便秘』、『腹瀉』或與『進食』相關的症狀  
- 疼痛特徵：『咳嗽』或『起身』時疼痛加劇  
- 理學檢查：局部有『可觸痛點』  

根據患者的症狀及檢查結果，最可能的診斷為『前腹部皮神經擠壓症』。此症狀通常與腹部的神經受壓有關，特別是在腹部活動或改變姿勢時，疼痛可能會加劇。相較於其他選項，急性盲腸炎及急性大腸憩室炎通常伴隨急性發作的症狀，且多數會有消化道症狀如發燒或食慾不振；而大腸激躁症則多為功能性疾病，症狀與排便有關，與本案例不符。綜合考量，患者的持續性疼痛及觸痛點更符合前腹部皮神經擠壓症的特徵。"
43,"72歲男性有心房顫動(atrial fibrillation)病史,主訴突發性中上腹劇痛。但理學檢查僅有輕微壓痛,沒有反彈痛或腹部肌肉緊繃。抽血檢驗發現白血球以及乳酸(lactate)數值升高。下列何者為最適合的診斷工具?",(A)腹部X光,(B)腹部超音波,(C)腹部電腦斷層血管攝影(abdominal CT angiography),(D)腹部磁振造影,C,「突發中上腹劇痛，然而理學檢查壓痛卻微乎其微(Pain out of proportion to physical exam)」外加心房顫動病史(易甩出血栓)，抽血乳酸堆積上升，是急性急性腸繫膜缺血(Acute mesenteric ischemia)的超級魔王級死穴表現。必須立刻安排「腹部電腦斷層血管攝影(CTA)」尋找血栓栓塞位置以利緊急救命。,腹部常見症狀(含急性腹痛),王俊偉,"📖 chatGPT 學長背景知識  
- 患者年齡：72歲男性  
- 病史：『心房顫動』  
- 主訴：『突發性中上腹劇痛』  
- 理學檢查：輕微壓痛，無反彈痛或腹部肌肉緊繃  
- 血液檢查：『白血球』及『乳酸』數值升高  

在此案例中，患者的劇痛及血液檢查結果提示可能存在『腹部缺血』或『腸道缺血』的情況，尤其考慮到其心房顫動病史，這可能導致『血栓形成』，進而引發腸道缺血。腹部電腦斷層血管攝影（CT angiography）是一種高敏感度的影像學檢查，能夠有效評估腹部血管的狀況，檢測是否有血栓或血流受阻的情況，並且能夠快速提供診斷信息。相比之下，腹部X光及超音波的診斷能力較為有限，而腹部磁振造影則不如CT在急性情況下的應用普遍。因此，對於此患者的情況，最適合的診斷工具為(C)腹部電腦斷層血管攝影。"
44,"一位50歲女性因3個月來反覆出現餐後飽脹、噁心、體重輕微下降及間歇性嘔吐未消化食物而來門診就醫。她本身有第2型糖尿病病史已10年,近期血糖控制不佳(HbA1c: 9.2%),她否認服用鴉片類藥物或曾接受過腹部手術,腹部理學檢查無明顯異常,肝腎功能皆正常。請問下列哪一項檢查最有助於確立診斷?",(A)腹部超音波,(B)上消化道鋇劑攝影(UGI series),(C)胃排空閃爍攝影(Gastric emptying scintigraphy),(D)小腸內視鏡檢查,"B,C",本題經申覆後修改為BC均給分。(C) 糖尿病10年且血糖控制差、嘔吐未消化食物，高度懷疑功能性胃輕癱，胃排空閃爍攝影是確認胃排空速度變慢的國際標準黃金 test。然而，針對慢性嘔吐未消化食物且伴隨體重下降的患者，臨床第一步需要先安排(B)上消化道鋇劑攝影或胃鏡等排除結構性阻塞問題，王俊偉老師判定申覆合理，兩者均給分。,胃腸道蠕動異常疾病,王俊偉,"📖 chatGPT 學長背景知識  
- 患者年齡：50歲女性  
- 症狀：餐後『飽脹』、『噁心』、『體重下降』、『間歇性嘔吐』  
- 既往病史：第2型『糖尿病』、血糖控制不佳  
- 檢查結果：腹部理學檢查無異常，肝腎功能正常  

根據患者的症狀，最可能的診斷是『胃排空延遲』，這在糖尿病患者中相對常見，稱為『糖尿病性胃輕癱』。此病症會導致食物在胃中停留過久，造成餐後不適及嘔吐。雖然腹部超音波和上消化道鋇劑攝影可以排除其他結構性病變，但無法有效評估胃排空情況。小腸內視鏡檢查則主要用於檢查小腸病變，對於胃排空問題的診斷幫助有限。因此，『胃排空閃爍攝影』是最合適的檢查，能夠直接評估胃的排空功能，確立診斷。選擇(C)胃排空閃爍攝影最能幫助確立診斷。"
45,"32歲男性主訴過去6個月反覆出現腹痛與腹瀉,症狀通常在排便後緩解,他每日大便次數約4-5次,為糊狀,常合併腹脹感,但無夜間腹瀉、體重下降或血便,他表示最近工作壓力較大,並常喝含糖飲料與冰牛奶。理學檢查與抽血、糞便潛血檢查結果皆正常。請問下列何者為此病人最適當的初步處置?",(A)開立廣效型抗生素以排除感染性腸炎,(B)建議低FODMAP 飲食與壓力管理,(C)安排大腸鏡以排除器質性病變,(D)開始口服類固醇以抑制腸道發炎反應,B,患者症狀完全符合 Rome IV Irritable bowel syndrome (大腸激躁症，IBS) 的特徵：腹痛、便後緩解、無夜間腹瀉、無紅字警訊(體重下降或血便)，且工作壓力大。初步處置應選擇低侵入性且最安全有效的「低FODMAP飲食調整與壓力調適管理」。,胃腸道蠕動異常疾病,王俊偉,"📖 chatGPT 學長背景知識  
本題患者為32歲男性，主訴反覆腹痛與腹瀉，症狀在排便後緩解，且伴隨腹脹感。重要的是，患者無夜間腹瀉、體重下降或血便，這些特徵提示非器質性病變的可能性較高。考慮到患者的生活壓力增加及飲食習慣（如常喝含糖飲料與冰牛奶），這可能導致『腸道功能失調』或『食物不耐受』，尤其是乳糖不耐受或FODMAP（發酵性寡糖、雙糖、單糖及多元醇）引起的症狀。

在此情況下，初步處置應以『飲食調整』及『壓力管理』為主，這不僅能改善症狀，還能避免不必要的藥物使用或侵入性檢查。選項B建議的低FODMAP飲食能有效減少腸道不適，並且壓力管理有助於改善腸道功能。因此，選擇B作為最適當的初步處置。"
46,"有關代謝減重手術(metabolic-bariatric surgery)的描述,下列何者為非?","(A)是治療重度肥胖(severe obesity)最有效率的方式,其兩年的總體重減輕(total weight loss)普遍可達20-25%以上",(B)可有效痊癒第一型糖尿病、逆轉肝硬化和緩解肥胖型阻塞性睡眠呼吸中止症,"(C)目前美國主流的減重手術是胃袖狀切除手術(sleeve gastrectomy)和 Roux-en-Y
gastric bypass,而再 次手術(surgical revision)則約莫 10%上下,而上述主流手術類
別趨勢和台灣統計數據有所不同","(D)其減重機制乃是藉由食量限制(restriction)的胃容量縮減來達到降低熱量的效果,
腸胃道吸收不良 (mal-absorption)部分的腸道改道重新吻合(bypass)處置則不一定要
執行",B,減重手術目前核准並證實主要能用來緩解/治療第二型糖尿病（Type 2 DM），而非第一型糖尿病。其餘選項皆符合現行肥胖與減重外科指南。,微創手術之最新進展(含胃減重手術),張博智,"📖 chatGPT 學長背景知識  
代謝減重手術是針對『重度肥胖』的有效治療方式，能顯著改善相關的代謝疾病。以下是對題目中選項的綜合解析：

1. 代謝減重手術的『總體重減輕』效果通常在兩年內可達20-25%以上，這一點是正確的，故(A)選項描述正確。
2. Whipple手術後的『胰漏』(postoperative pancreatic fistula, POPF)確實可能導致『pseudoaneurysm』破裂，並引發嚴重出血，死亡率高，故(B)選項描述正確。
3. 胰漏的『危險因子』包括胰臟組織過軟及胰管過細等，這些因素會增加手術後併發症的風險，因此(C)選項描述正確。
4. 對於發生胰漏的病人，雖然有時需要手術處理，但並非所有情況下都建議立即手術，應根據病情評估，故(D)選項為非。

綜合以上分析，正確答案為(D)。"
47,"有關腹腔鏡微創手術操作的描述,下列何者為是?","(A)單孔腹腔鏡手術的優勢除傷口美觀較佳外,所需的二氧化碳氣腹
pneumoperitoneum 壓力與多孔腹腔鏡手術並無二致,多以 17 mmHg 以下為佳","(B)腹腔鏡 Pneumoperitoneum 下,以 Trendelenberg 或 Fowler's 擺位可緩解呼吸道
阻力增加之情形","(C)若用機器人手臂來執行腹腔鏡手術,其安全性高且學習曲線較短,目前已大力推

廣於 Enhanced Recovery After Surgery (ERAS) (術後快速康復)的病患安全促進活
動裡","(D)腹腔鏡手術在使用 pneumoperitoneum 當下,氣道壓力上升但腎臟灌流則會下降
,所以可預見手術中尿量減少和需調整呼吸器設定",D,(A)正確。(B)大腸攝影檢查中，窄縮成過渡帶（Transitional zone）的下游腸道才是缺乏神經節之病灶處；上游巨大擴張的部分是正常且努力想把糞便推過去的腸道。(C)此為功能性便秘表現。(D)標靶病灶為腸套疊表徵。,微創手術之最新進展(含胃減重手術),張博智,
48,"有關食道疾患與其相關評估檢查,下列的配對何者最不適當?","(A)若懷疑病患有食道狭窄(esophageal stenosis),可先安排食道攝影(esophagogram)檢查,但要注意相關 left main bronchus, upper esophagus-cricopharyngeal sphincter 和 diaphragm level 等解剖狹窄處","(B)可安排食道胃鏡來排除有無腫瘤順便採取檢體外,施作時應注意有無食道手術之病史以防穿孔","(C)若平常生活中有抽菸、喝酒和嚼食檳榔習慣,且又合併體重減輕與漸進式吞嚥困難,則大概可以先臆測食道鱗狀細胞癌之高度可能性","(D)食道壓力測定 (esophageal manometry)可以用來診斷偵測食道蠕動異常疾病(esophageal motility disorder), achalasia 常呈現 aperistalsis 和 incomplete lower esophageal sphincter relaxation 之情形",A,食道的 3 處正常生理與解剖狹窄（anatomic narrowings）分別為：1. Cervical constriction (環狀軟骨下緣/UES，約C6高度)；2. Thoracic constriction (由 Aortic arch 與 left main bronchus 壓迫造成，約T4-T5高度)；3. Diaphragmatic constriction (穿過橫膈膜裂孔/LES處，約T10高度)。選項敘述混淆了壓迫構造與位置配對。,食道疾病,張博智,"📖 chatGPT 學長背景知識

在評估食道疾患時，選擇適當的檢查方法至關重要。以下是各選項的核心觀念：

- 食道狹窄的評估可透過『食道攝影』進行，需注意解剖狹窄處。
- 『食道胃鏡』可用於排除腫瘤並採取檢體，但需考慮病史以防止穿孔。
- 吸菸、飲酒及嚼食檳榔等習慣，加上『體重減輕』與『吞嚥困難』，可提示『食道鱗狀細胞癌』的可能性。
- 『食道壓力測定』可診斷食道蠕動異常，『achalasia』特徵為無蠕動及下食道括約肌放鬆不全。

綜合以上觀點，選項(A)雖然提到食道攝影的注意事項，但對於解剖狹窄處的描述不夠精確，因為左主支氣管、上食道及橫膈膜的狹窄並非食道狹窄的主要考量。因此，選項(A)的配對最不適當，因為其解剖學描述可能會誤導臨床評估。"
49,"有關食道疾患與其相關治療,下列的配對何者最不適當?",(A)refractory reflux esophagitis (藥物治療無效的已確診胃食道逆流)- laparoscopic Nissen fundoplication,(B)achalasia with megaesophagus - laparoscopic Heller myotomy + Dor fundoplication,(C)T3N2M0 cervical esophageal squamous cell carcinoma - direct Ivor-Lewis esophagectomy and reconstruction without following chemoradiotherapy,(D)epiphrenic diverticulum - laparoscopic diverticulectomy,C,依據 NCCN 指南，食道癌分期只要達到 T2 以上、或有區域淋巴結轉移（LN +，如本題 N2），標準首選一線處置必須先進行前導性同步化放療（Neoadjuvant CCRT），之後再評估手術，而非直接安排手術。,食道疾病,張博智,"📖 chatGPT 學長背景知識  
在食道疾患的治療中，選擇適當的手術或藥物治療至關重要。以下是各選項的關鍵觀念：

- 『refractory reflux esophagitis』通常指對藥物治療無效的胃食道逆流，適合進行『laparoscopic Nissen fundoplication』以改善症狀。
- 『achalasia』伴隨『megaesophagus』的患者，常需進行『laparoscopic Heller myotomy』，並可考慮『Dor fundoplication』以防止逆流。
- 對於『T3N2M0』的『cervical esophageal squamous cell carcinoma』，直接進行『Ivor-Lewis esophagectomy』而不進行『chemoradiotherapy』是不適當的，因為這種分期的癌症通常需要術前或術後輔助治療以提高治療效果。
- 『epiphrenic diverticulum』的治療可選擇『laparoscopic diverticulectomy』，這是合適的手術選擇。

綜合以上分析，選項C的配對最不適當，因為對於進行『Ivor-Lewis esophagectomy』的『T3N2M0』食道癌患者，缺乏適當的『chemoradiotherapy』會降低治療成功率，影響預後。"
50,"以下哪些關於腹部影像的陳述,下列描述何者為誤?",(A)直腸(rectum)是腹膜外間隙(extraperitoneal space)的器官,(B)The middle hepatic vein 將肝臟分為左、右肝葉,(C)胰腺分裂(pancreas divisum)可以分為complete 和 incomplete,(D)在膽囊左側的肝臟是 segment 5,D,在解剖構造與影像分葉上，位於膽囊左側的肝臟微細分區構造屬於 Segment 4b，而非 Segment 5。,腹部影像解剖學,陳巧雲,"📖 chatGPT 學長背景知識  
在腹部影像學中，了解各器官的解剖位置及其相互關係至關重要。以下是對題目中各選項的綜合解析：

- (A) 直腸確實位於『腹膜外間隙』，這是正確的，因為直腸位於骨盆內，並不被腹膜覆蓋。
- (B) 中肝靜脈（middle hepatic vein）確實將肝臟分為『左肝葉』和『右肝葉』，這一描述也是正確的。
- (C) 胰腺分裂（pancreas divisum）是胰腺的一種解剖變異，確實可以分為『complete』和『incomplete』兩種型態，這一說法也是正確的。
- (D) 在膽囊左側的肝臟是『segment 5』，這一描述是錯誤的。根據肝臟的分段解剖，膽囊位於肝臟的『右側』，而『segment 5』實際上位於肝臟的左側。

綜合以上分析，選項(D)的描述為誤，因為膽囊位於右側，與segment 5的定位不符。"
51,"與虛擬胃鏡檢查相比,關於常規胃鏡檢查的優點,下列描述何者為誤?",(A)Measure the size,(B)Adequate color change,(C)No radiation exposure,(D)Can obtain samples,A,虛擬胃鏡（利用CT/影像重組）的優點包含非侵入性、視野寬廣以及能夠較為精準地「測量病灶大小(Measure the size)」。而常規常規光學胃鏡的優點則是能即時觀察黏膜顏色變化（color change）、無輻射暴露、且能做切片病理採樣（obtain samples）。故常規胃鏡「不能」精準測量立體大小是其相較之下的限制。,腹部影像解剖學,陳巧雲,"📖 chatGPT 學長背景知識  
虛擬胃鏡檢查（如CT或MRI）與常規胃鏡檢查各有其特點。常規胃鏡檢查的優點包括能夠直接觀察『胃』內部結構、進行『組織取樣』以及『無輻射暴露』等。虛擬胃鏡雖然能提供影像，但無法進行實際的『生物檢查』或『取樣』，且可能無法提供足夠的『顏色變化』以判斷病變。

在選項中，(A)提到的“Measure the size”是虛擬胃鏡的優勢，因為它能夠更精確地測量腫瘤或病變的大小，這是常規胃鏡所無法做到的。因此，這個選項是錯誤的描述，因為常規胃鏡並不具備這一優勢。其他選項如(B)的『Adequate color change』、 (C)的『No radiation exposure』和(D)的『Can obtain samples』均為常規胃鏡的優勢，故正確答案為(A)。"
52,"關於胃潰瘍(gastric ulcer),下列描述何者為誤?",(A)Carman-Kirklin Complex 診斷為惡性潰瘍,(B)Hampton' s line 診斷為良性潰瘍,(C)Ulcer size 大於五公分診斷為惡性潰瘍,(D)Project line beyond the gastric wall 診斷為良性潰瘍,C,依據影像診斷鑑別診斷原則（HALPERT and GOODMAN），潰瘍的絕對大小（Ulcer size）並「不能」單獨拿來作為區分良性或惡性胃潰瘍的硬性依據。,消化系統影像學：胃腸系統疾病診斷,陳巧雲,"📖 chatGPT 學長背景知識

胃潰瘍的診斷與評估通常依賴影像學和病理學的檢查。以下是關於胃潰瘍的幾個重要觀念：

- 『Carman-Kirklin Complex』：此複合體通常用於判斷潰瘍的惡性，若存在此特徵，則潰瘍可能為『惡性』。
- 『Hampton's line』：這是一種影像學特徵，通常與『良性潰瘍』相關，顯示潰瘍邊緣的清晰性。
- 潰瘍的『大小』：一般來說，直徑大於『五公分』的潰瘍更可能是『惡性』，因此這一點是正確的。
- 『Project line beyond the gastric wall』：這一特徵通常提示潰瘍可能為『惡性』，而非良性。

綜合以上觀點，選項 (C) 提到的潰瘍大小大於五公分診斷為惡性潰瘍是正確的，而選項 (D) 的描述則是錯誤的，因為潰瘍若有超過胃壁的投影，通常是惡性潰瘍的指標。因此，正確答案為 (C)。"
53,"關於克隆氏症(Crohn's disease),下列描述何者為誤?",(A)It is a chronic granulomatous inflammatory disease with a tendency toward remission and relapse,(B)Rectum involved in all the cases,(C)Malignant change is uncommon,"(D)It can affect any part of the Gl tract, often involving multiple discontinuous sites",B,"克隆氏症（Crohn's disease）具有跳躍性病灶（Skip area）與非連續性慢性發炎特徵，可侵犯由口到肛門的任何消化道。相比之下，100% 必然會侵犯並直腸（Rectum involved in all cases）的疾病是潰瘍性結腸炎（Ulcerative colitis, UC）。",消化系統影像學：胃腸系統疾病診斷,陳巧雲,"📖 chatGPT 學長背景知識  
克隆氏症（Crohn's disease）是一種慢性『肉芽腫性』炎症性腸病，主要影響消化道的任何部分，且常見於『不連續』的多個部位。以下是對題目選項的綜合解析：

- 克隆氏症的特徵是『慢性』的炎症，並且有『緩解』與『復發』的趨勢，這使得選項(A)正確。
- 雖然克隆氏症可以影響整個消化道，但『直腸』並不是所有病例都會受累，因此選項(B)為錯誤描述。
- 此病的『惡性變化』相對不常見，這使得選項(C)正確。
- 克隆氏症的影響範圍可遍及『消化道的任何部位』，且常見『多個不連續部位』的受累，這使得選項(D)正確。

綜合以上分析，選項(B)的描述不正確，因為並非所有克隆氏症患者的直腸都會受到影響。"
54,"下列針對不同基因型C型肝炎病毒感染,全口服藥物治療之選擇評估,何者為非?",(A)Glicaprevir / Pibrentasvir 針對第1~6型C型肝炎病毒都有效,(B)Glicaprevir / Pibrentasvir 只針對第1和3型C型肝炎病毒有效,(C)Sofosbuvir / Velpatasvir 針對第1~6型C型肝炎病毒都有效,(D)Sofosbuvir/ Velpatasvir/ Voxilaprevir 針對第1~6型C型肝炎病毒且曾接受含 NS5A 抑制劑治療失敗者有效,B,現行的主要一線C肝全口服藥物如 Glecaprevir/Pibrentasvir (Mavyret) 以及 Sofosbuvir/Velpatasvir (Epclusa) 均屬於「全基因型（Pangenotypic）」藥物，對於第 1 到第 6 型C肝病毒都完全有效。,病毒性肝炎(II),張庭遠,"📖 chatGPT 學長背景知識

C型肝炎病毒（HCV）感染的治療選擇依賴於病毒基因型及以往治療反應。以下是針對各選項的核心觀念：

- 『Glicaprevir / Pibrentasvir』是一種全口服治療方案，對於『第1~6型』C型肝炎病毒均有效，並非僅限於第1和第3型。
- 『Sofosbuvir / Velpatasvir』同樣適用於『第1~6型』C型肝炎病毒，顯示出廣泛的抗病毒活性。
- 『Sofosbuvir / Velpatasvir / Voxilaprevir』的組合則特別針對曾接受『NS5A抑制劑』治療失敗的患者，提供了有效的治療選擇。

綜合以上資訊，選項(B)的說法不正確，因為Glicaprevir / Pibrentasvir實際上對所有基因型均有效，而不僅限於第1和第3型。因此，正確答案為(B)。"
55,下列有關E型肝炎病毒感染的描述何者錯誤?,(A)經由血液傳染,(B)自限性疾病(self-limited),(C)孕婦有高嚴重肝病風險,(D)可能經由胎盤傳染給胎兒,A,E型肝炎（與A型肝炎相同）主要是透過粪口途徑、經口飲食傳染（Fecal-oral route），而非主由血液傳染。其對於孕婦具有極高的猛暴性肝衰竭與嚴重死亡風險（約20%）。,病毒性肝炎(II),張庭遠,"📖 chatGPT 學長背景知識  
E型肝炎病毒（HEV）是一種主要透過『糞口途徑』傳播的病毒，常見於不潔的水源或食物中。以下是有關E型肝炎的核心觀念：

- E型肝炎通常不會透過『血液』傳播，因此選項(A)是錯誤的。
- 此病大多為『自限性疾病』，大部分患者可在數週內自我康復。
- 孕婦感染E型肝炎後，面臨『高嚴重肝病風險』，特別是在妊娠後期，可能導致肝衰竭。
- E型肝炎有可能『經由胎盤』傳染給胎兒，雖然這種情況較為少見，但仍需注意。

綜合以上資訊，選項(A)的描述不正確，因為E型肝炎病毒並非透過血液傳播，而是主要透過糞口途徑感染。"
56,"接受免疫抑制藥物或化學藥物治療患者,為預防B型肝炎病毒復發,初步應執行哪些檢測?",(A)表面抗原 HBsAg,(B)核心抗體 HBcAb IgG,(C)表面抗體 HBsAb,(D)以上皆是,D,要精確、全面地界定高風險患者在接受化療/免疫抑制劑時的 B 肝再活化（Reactivation）風險，必須同步檢測 HBsAg、HBsAb 以及 IgG anti-HBc 這三項指標。,病毒性肝炎(I),張庭遠,"📖 chatGPT 學長背景知識  
在接受『免疫抑制』或『化學治療』的患者中，B型肝炎病毒（HBV）復發的風險顯著增加，因此在治療前進行相關檢測至關重要。

首先，『表面抗原 HBsAg』的檢測能夠確認患者是否仍然帶有HBV，這是評估病毒活動性的重要指標。其次，『核心抗體 HBcAb IgG』的檢測則有助於了解患者的過去感染歷史，因為這種抗體通常在感染後持續存在，顯示患者曾經接觸過病毒。最後，『表面抗體 HBsAb』的檢測則能評估患者是否具備免疫力，這在疫苗接種後或自然清除病毒後會出現。

綜合以上，為了全面評估患者的HBV狀態及預防復發，初步應執行的檢測包括所有選項：HBsAg、HBcAb IgG及HBsAb。因此，正確答案為(D) 以上皆是。"
57,"有關D型肝炎病毒感染,下列描述何者為錯誤?",(A)重複感染(superinfection)發生於B型肝炎病毒感染後,"(B)同時感染(coinfection)患者出現兩個丙胺酸轉胺酶(Alanine transaminase, ALT)高峰(peak),第二個高峰代表B肝病毒肝炎高峰",(C)重複感染(superinfection)患者較同時感染(coinfection)患者有肝硬化風險,(D)靜脈藥物毒癮者是感染高風險族群,B,在 HDV 與 HBV「同時感染（Coinfection）」的臨床表現中，常會觀察到 ALT 出現雙峰（Double peak）。其中，第一個高峰是由於 HBV 急性發炎引起，第二個高峰則是隨後 HDV 建立感染建立後引發的高峰。,病毒性肝炎(I),張庭遠,"📖 chatGPT 學長背景知識  
D型肝炎病毒（HDV）是一種依賴於B型肝炎病毒（HBV）存在的病毒，主要透過血液和體液傳播。HDV感染可分為兩種情況：『同時感染』（coinfection）和『重複感染』（superinfection）。同時感染是指在同一時間內同時感染HBV和HDV，而重複感染則是指在已經感染HBV的基礎上再感染HDV。

- 在同時感染的情況下，患者可能會出現兩個『丙胺酸轉胺酶』（ALT）高峰，第二個高峰通常與HBV的活動性有關。
- 重複感染的患者相較於同時感染者，確實有較高的『肝硬化』風險，因為HDV會加重肝臟損傷。
- 靜脈藥物使用者因為共用針具等行為，確實屬於高風險族群。

根據上述知識，選項B的描述為錯誤，因為同時感染的患者在ALT高峰的解釋上不應將第二個高峰單純歸因於B型肝炎病毒的活動性，這可能會導致誤解。"
58,"理學檢查在外科診斷中占有極大的角色,對於這名患者羅戈佐夫的症狀（上腹悶痛轉移至右下腹）,你認為以下那項理學檢查可能為陰性?",(A)McBurney's point.,(B)Murphy's sign.,(C)Rovsing's sign.,(D)Obturator sign.,B,由「上腹痛伴隨噁心、後轉移至右下腹固定痛」可明確診斷這名極地醫生罹患的是急性闌尾炎。McBurney、Rovsing 及 Obturator 均為闌尾炎檢查特異徵象。而 Murphy's sign 為急性膽囊炎的特異性指標，在此個案中應為陰性。,急性闌尾炎、大腸傷害及腸系膜疾病,陳彥成,"📖 chatGPT 學長背景知識

- 患者羅戈佐夫的症狀為『上腹悶痛』轉移至『右下腹』，這是典型的『急性闌尾炎』表現。
- 理學檢查在診斷急性闌尾炎中非常重要，常用的檢查包括：
  - 『McBurney's point』：壓痛點，通常在右下腹，若有壓痛則提示闌尾炎。
  - 『Murphy's sign』：主要用於膽囊炎，當患者吸氣時右上腹疼痛加劇。
  - 『Rovsing's sign』：左下腹壓痛引起右下腹疼痛，支持闌尾炎的診斷。
  - 『Obturator sign』：內收大腿時引起右下腹疼痛，亦可提示闌尾炎。

在此情況下，『Murphy's sign』最可能為陰性，因為該檢查主要針對膽囊問題，而非闌尾炎。患者的症狀與膽囊無關，因此該檢查不會顯示陽性結果。其他檢查如『McBurney's point』、 『Rovsing's sign』及『Obturator sign』則更可能顯示陽性，因為它們直接與右下腹的病變相關。總結來說，選擇B作為答案是合理的，因為它不符合患者的臨床表現。"
59,"對於羅戈佐夫（急性闌尾炎個案）的進一步處置,下列敘述何者不適當?","(A)若基地站有簡易生化分析設備,可抽血檢驗血球數值(Complete Blood Count)和發炎指數(C reactive protein),以協助診斷。","(B)基地站並無電腦斷層設備,但若有X光機或超音波設備,應可協助診斷。","(C)保守治療如抗生素或退燒藥物等,在此狀況下完全沒有效果,不可能單靠藥物治療緩解病症。","(D)應積極考慮手術介入治療,移除發炎感染病灶。",C,「保守治療完全沒有效果」這句話太過絕對。在極地極端環境下，抗生素及冰敷支持療法雖然無法根治闌尾發炎或避免後續穿孔，但能有限度地控制感染擴散、緩解部分全身性症狀，並不能判定為完全無效。標準根治處置仍首選闌尾切除術。,急性闌尾炎、大腸傷害及腸系膜疾病,陳彥成,"📖 chatGPT 學長背景知識  
急性闌尾炎是常見的外科急症，通常需要手術介入以移除發炎的闌尾。對於羅戈佐夫的個案，進一步處置的選擇需根據臨床情況進行評估。

- 『診斷』：血液檢查（如『血球數值』和『C反應蛋白』）可協助確認發炎狀態，故選項(A)是適當的。
- 『影像學檢查』：即使基地站無電腦斷層設備，『X光』或『超音波』仍可用於輔助診斷，故選項(B)也是適當的。
- 『保守治療』：急性闌尾炎的特性使其不適合僅依賴『抗生素』或『退燒藥物』進行治療，因為這些措施無法根本解決病因，故選項(C)是最不適當的。
- 『手術介入』：對於確診的急性闌尾炎，『手術』是標準治療，故選項(D)是適當的。

綜合以上分析，選項(C)的敘述不符合急性闌尾炎的治療原則，因為保守治療在此情況下是無效的。"
