id,question,option_a,option_b,option_c,option_d,correct_answer,explanation,category,teacher,ai_explanation
64,下列敘述何者正確？,膽道結石是慢性胰臟炎之常見主要致病因素之一,診斷慢性胰臟炎，病人血清脂解酶(lipase)和澱粉酶(amylase)數值要至少高於正常3 倍以上,secretin 負責刺激胰臟分泌富含電解質之胰液，cholecystokinin (CCK)負責刺激胰臟分泌富含消化酶之胰液,腹痛是急性胰臟炎之主要表徵，病人腸音通常變快且平躺通常比 knee-chest position 舒服,C,(A) 膽結石不會造成慢性胰臟炎，它只會造成再發作的急性胰臟炎；慢性胰臟炎的最常見原因是酗酒或囊性纖維化 (B) 急性胰臟炎時 amylase 與 lipase 才會上升至正常值 3 倍以上。慢性胰臟炎因為胰臟功能變差甚至壞死，amylase 與 lipase 可能只有輕微上升或甚至在正常範圍內 (C) 兩者功能相反,胰臟腫瘤及傷害,,在胰臟的生理功能中，secretin和cholecystokinin（CCK）扮演著重要角色。Secretin主要刺激胰臟分泌富含電解質的胰液，而CCK則促進胰臟分泌富含消化酶的胰液。這兩種激素的功能相互補充，確保消化過程的有效進行。選項C的敘述正確，因為它準確描述了這兩種激素的作用。其他選項則存在誤導性，特別是關於膽道結石與慢性胰臟炎的關係。
65,下列敘述何者正確？,慢性胰臟炎病人如出現脂肪痢(steatorrhea)代表其胰臟外分泌機能(exocrine function)可能只剩下正常之10%以下，對已出現脂肪痢之病人，如需使用制酸劑來抑制胃酸時應使用富含鎂或鈣之製劑,在急性胰臟炎發作時，血清脂解酶(lipase)會和澱粉酶(amylase)一起上升，但不正常之澱粉酶數值通常會比脂解酶持續更久,病人出現胰臟偽囊腫(pseudocyst)均須及早進行引流以避免感染或破裂,腎衰竭病人其血清澱粉酶(amylase)與脂解酶(lipase)之測定值即使在無急性胰臟炎時仍可能高於正常值範,D,(A) 這類病人要避免含鎂或鈣的制酸劑，因為很容易結合脂肪酸造成更嚴重的吸收不良 (B) lipase 下降得比 amylase 慢，是 lipase 停留持續的時間比amylase 更久 (C) 胰臟偽囊腫不一定需要及早引流。如果無症狀且囊腫縮小，持續觀察即可；只有在囊腫大於 5 公分且存在超過 6 週，或有症狀、尺寸變大時，才需要積極引流或手術,胰臟腫瘤及傷害,,在慢性胰臟炎的病人中，脂肪痢（steatorrhea）通常表示胰臟的外分泌功能已經嚴重受損，可能低於正常的10%。這些病人應避免使用含鎂或鈣的制酸劑，因為這些成分可能與脂肪酸結合，進一步加重吸收不良的情況。選項D的敘述正確，因為腎衰竭病人即使在沒有急性胰臟炎的情況下，血清中的澱粉酶和脂解酶的數值可能會高於正常範圍，這是由於腎功能不全導致的代謝異常。
66,下列敘述何者正確？,評估急性胰臟炎併發症最準確之影像檢查工具是內視鏡超音波,阻塞性黃疸(obstructive jaundice)為自體免疫性胰臟炎(autoimmune pancreatitis)病人最常見之主要臨床表徵，第一型自體免疫性胰臟炎病人其抽血之IgG4 值在正常上限2 倍以上,慢性胰臟炎合併脂肪痢(steatorrhea)之病人發作時血清 trypsinogen 值會明顯上升,急性胰臟炎導致之肋膜積水通常在右胸,B,(A) 雖然自體免疫胰臟炎的主要表現為阻塞性黃疸，但它是一種罕見疾病，並非急性阻塞性黃疸最常見的病因（最常見多為膽結石或腫瘤） (C) 如果是慢性胰臟炎加上脂肪便，代表胰臟功能已經很差，此時血清中 的胰蛋白酶原會下降 (D) ERCP 本身就可能導致胰臟炎，通常不作為常規診斷工具。只有因為總膽管結石造成嚴重的膽源性胰臟炎時，才需要在 36-72 小時內做 ERCP 進行乳突切開與取石,胰臟腫瘤及傷害,,自體免疫性胰臟炎是一種罕見的胰臟炎症，主要表現為阻塞性黃疸，這是由於胰臟腫脹或腫瘤壓迫膽管所致。選項B的敘述正確，因為第一型自體免疫性胰臟炎病人的IgG4值通常會顯著升高，超過正常上限的兩倍。這一指標對於診斷和監測病情進展非常重要。其他選項則存在誤導性，特別是關於急性胰臟炎的常見病因和影像學檢查的選擇。
67,下面哪一次群的胰腺癌(adenocarcinoma of the exocrine pancreas)較可能具有除 KRAS 外的可用藥基因變異(actionable genetic alterations)？,KRAS G12D,KRAS G12C,KRAS Q61,KRAS wild-type (野生型),D,"只有少數屬於 KRAS wild-type 的腫瘤，才可能帶有其他可用藥治療的基因異常（例如 FGFR2, NTRK, ROS1 等 Fusions，或是 BRAF mutation, MSI-H 等）",胃腫瘤及消化性潰瘍之外科治療,,胰腺癌的治療越來越依賴於基因組學的進展。KRAS突變是胰腺癌中最常見的基因變異，但KRAS wild-type的腫瘤則可能攜帶其他可用藥物治療的基因異常，如FGFR2、NTRK、ROS1等融合基因或BRAF突變。這使得KRAS wild-type的腫瘤在治療選擇上具有潛在的優勢，因此選項D是正確的。
68,有關 KRAS 突變的敘述下列何者為誤？,有最高的KRAS 突變發生率的癌症為胰腺癌,有最多的KRAS 突變病人數的癌症為大腸直腸癌,最早開發出來進入臨床使用的KRAS 抑制劑為pan-KRAS inhibitor,異於肺腺癌較常見的 KRAS G12C 突變，胰腺癌最常見的突變是KRAS G12D,C,目前針對 KRAS 研發且發展較多、較早進入臨床使用的藥物，是針對肺癌（非小細胞肺癌）的 Selective KRAS G12C inhibitor。Pan-KRAS inhibitor 多處於第三期臨床試驗階段,胃腫瘤及消化性潰瘍之外科治療,,KRAS突變在多種癌症中扮演著關鍵角色，特別是在胰腺癌和大腸直腸癌中。選項C的敘述是錯誤的，因為目前最早進入臨床使用的KRAS抑制劑是針對肺癌的選擇性KRAS G12C抑制劑，而不是pan-KRAS抑制劑。這一點對於臨床治療策略的制定至關重要，因為不同的KRAS抑制劑可能對不同類型的癌症有不同的療效。
69,轉移性胰腺癌目前法規單位核准的標準第一線和第二線治療以毒殺性化學治療為主，下列敘述何者為誤？,接受第一線全身性毒殺性化學治療的轉移性胰腺癌，整體中位數存活期約為9-12 個月,"Daraxonrasib, a pan-KRAS 抑制劑，對第一線化療失敗胰腺癌病人的隨機分組 RASolute 302 臨床試驗的整體中位數存活期為>12 個月","Daraxonrasib, a pan-KRAS 抑制劑，最常見的副作用為皮疹(skin rash)",相較於選擇性(selective)的KRAS G12C 或G12D 抑制劑，pan-KRAS 抑制劑具有相當的安全性及耐受性,D,Pan-RAS inhibitors（廣效型抑制劑）安全性與耐受性是最差的，副作用也較大,胃腫瘤及消化性潰瘍之外科治療,,轉移性胰腺癌的治療通常依賴於化學治療，並且目前的標準治療方案主要是毒殺性化學治療。選項D的敘述是錯誤的，因為pan-KRAS抑制劑的安全性和耐受性通常較差，副作用也較大，這使得它們在臨床應用中受到限制。相比之下，選擇性KRAS抑制劑如G12C或G12D抑制劑在安全性和耐受性方面通常表現更佳，這一點對於臨床治療的選擇至關重要。
70,B 型肝炎病毒p22 蛋白是由哪個開放讀序框架(Open reading frame，ORF)製造?,ORF-C,ORF-P,ORF-S,ORF-X,A,p22 蛋白是由ORF-C 所編碼製造,病毒性肝炎(I),,B 型肝炎病毒的p22蛋白是由ORF-C編碼的，這是病毒基因組中的一個開放讀序框架。ORF-C的產物在病毒的複製和組裝過程中扮演著重要角色。了解這一點對於研究B型肝炎的病理機制及其治療策略至關重要。
71,B 型肝炎病毒的複製程序為：,DNA 直接複製DNA,RNA 直接複製RNA,DNA 轉錄為RNA，再由RNA 反轉錄為DNA,RNA 反轉錄為DNA，再由DNA 轉錄為RNA,C,B 型肝炎病毒屬於反轉錄DNA 病毒,病毒性肝炎(I),,B 型肝炎病毒是一種反轉錄DNA病毒，其複製過程涉及將病毒的DNA轉錄為RNA，然後再由RNA反轉錄為DNA。這一過程是病毒生命周期中的關鍵步驟，對於病毒的增殖和感染能力至關重要。
72,B 型肝炎病毒的疫苗可以利用來預防下列何種肝炎病毒之感染?,A 型肝炎病毒,C 型肝炎病毒,D 型肝炎病毒,E 型肝炎病毒,C,D 型肝炎病毒本身無法獨立製造套膜蛋白，須借用B 型肝炎病毒的表面抗原(HBsAg)來包裹自己的核心，才能形成具感染力的完整病毒顆粒並傳播,病毒性肝炎(I),,B 型肝炎疫苗的主要作用是預防D型肝炎病毒的感染，因為D型肝炎病毒需要依賴B型肝炎病毒的表面抗原來形成其包膜。這使得接種B型肝炎疫苗成為預防D型肝炎的重要策略，特別是在高風險人群中。
73,有關食道疾患與相關手術原則的配對，下列何者最不適當?,Symptomatic type ll paraesophageal hiatal hernia→可考慮surgical reduction，並依情況合併執行Nissen fundoplication,Achalasia→可考慮peroral endoscopic myotomy 或laparoscopic Heller myotomy；若行Heller myotomy，常需考慮partial fundoplication 降低術後逆流,Resectable esophageal cancer→食道切除重建時，gastric tube 是最常使用的 conduit，吻合位置可為cervical 或intrathoracic,Ivor-Lewis esophagectomy→主要特色為頸部左側切口進行cervical anastomosis，適合所有部位之食道癌作為首選根治手術,D,(D)Ivor-Lewis esophagectomy 主要特色是先進行腹部切口，接著進行右側胸部切口，而非頸部切口,食道疾病,,Ivor-Lewis食道切除術的主要特點是通過腹部和右側胸部的切口進行手術，而不是通過頸部切口。這種手術方法適用於某些食道癌患者，並且在手術過程中需要考慮到患者的具體情況和腫瘤的位置。
74,有關食道疾患與相關檢查安排原則的配對，下列何者最不適當?,"懷疑achalasia→可先安排esophagogram 觀察有無""bird’s beak sign""，但確立診斷仍以esophageal manometry 為重要檢查",懷疑食道癌→可安排esophagogram 與endoscopy 作為診斷工具，並以endoscopy 取得病理檢體,Upper 或middle-third esophageal cancer→確立分期時除chest CT、PET/CT、endoscopic ultrasound 外，可考慮bronchoscopy 評估可能氣管/支氣管侵犯,Progressive dysphagia 合併體重減輕→若esophagogram 未見明顯bird’s beak sign，即可排除食道癌，無須安排endoscopy,D,"(D)Progressive dysphagia 合併體重減輕是食道癌最典型的症狀。""Bird's beak sign""是Achalasia 的特徵表現，而非食道癌的診斷依據",食道疾病,,"進行性吞嚥困難和體重減輕是食道癌的典型症狀，不能僅依賴esophagogram的結果來排除癌症。""Bird's beak sign""是Achalasia的特徵，並不適用於食道癌的診斷，因此在懷疑食道癌的情況下，應該進一步進行內視鏡檢查以獲取病理檢體。"
75,70 歲女性，長期有胸口灼熱與胃食道逆流，規則使用proton pump inhibitor(氫離子幫浦抑制劑)多年，近來三個月有口臭和吞嚥困難症狀，體重減輕2 公斤，目前可以軟質飲食，有關這位女士可能食道疾患的鑑別診斷與治療/檢查的描述，下列何者最不適宜?,若安排食道攝影(esophagogram)檢查懷疑有上段食道憩室，則可能是Zenker diverticulum 或Killian-Jamieson diverticulum,亦可安排食道胃鏡來排除有無腫瘤順便採取檢體外，施作應注意食道開口與進入腹腔時的解剖狹窄處(anatomic narrowing)，其對應的解剖構造是cricopharyngeal sphincter 和Angle of His,若安排食道攝影(esophagogram)檢查懷疑有下段食道憩室，則可能是Epiphrenic diverticulum 通常位於lower esophageal sphincter 之上，且與lower esophageal sphincter relaxation 有關,食道壓力測定(esophageal manometry)可以用來診斷偵測食道蠕動異常疾病(esophageal motility disorder),B,(B)食道在解剖上的三個狹窄處分別是：第一：食道入口，對應Cricopharyngeal muscle/Upper esophageal sphincter 第二：Aortic arch 與Left main bronchus 跨越處 第三：穿過橫膈膜裂孔進入腹腔處，即Lower esophageal sphincter Angle of His 是指食道與胃底之間的夾角,食道疾病,,食道的解剖狹窄處包括食道入口、主動脈弓與左主支氣管的交叉處，以及穿過橫膈膜的下食道括約肌。選項B提到的解剖狹窄處不正確，因為Angle of His並不是食道的狹窄處，而是食道與胃之間的夾角。這一點在進行食道檢查時需要特別注意。
76,對於十二指腸潰瘍的治療，下列何者錯誤?,藥物控制為治療的第一線考處,因為藥物抑制酸效果不佳，對於急性漬瘍穿孔的手術越來越複雜,對於疼痛無法控制的潢瘍，可以考慮次全胃切除手術,胃潰瘍及十二指腸潰瘍都有惡性腫瘤的機會,B,PPI 療效極佳，急性穿孔手術反而趨向簡單,胃腫瘤及消化性潰瘍之外科治療,,對於十二指腸潰瘍的治療，藥物控制通常是第一線的治療方法，尤其是質子泵抑制劑（PPI）對於減少胃酸分泌非常有效。選項B的說法不正確，因為PPI的療效良好，急性穿孔的手術通常不會變得複雜，反而可能因為早期介入而簡化手術過程。
77,下列何者為胃腺癌的危險因子？,幽門螺旋桿菌感染,抽菸,醃漬飲食,以上皆是,D,幽門螺旋桿菌感染、吸菸及高鹽醃漬食物都會增加胃腺癌風險。,胃腫瘤及消化性潰瘍之外科治療,,胃腺癌的危險因子包括幽門螺旋桿菌感染、吸菸和高鹽醃漬食物。這些因素都被證實與胃腺癌的發生有關，特別是幽門螺旋桿菌感染被認為是最主要的致病因素之一。了解這些危險因子有助於預防和早期發現胃腺癌。
78,蔡先生50 歲，二十幾年前曾因胃潰瘍穿孔接受部分胃切除及胃空腸吻合手術(Billroth II)，昨日午餐後上腹痛約3 小時後吐出約500 mL 苦苦的液體，腹痛隨即改善。晚餐時再次感到腹部悶痛但沒有嘔吐，夜裡因腹痛加劇至急診室就醫，血液檢查發現血中澱粉酶上升，下列何者為最可能的診斷？,胃潰瘍穿孔(perforated gastric ulcer),傾倒症候群(dumping syndrome),輸入環症候群(afferent loop syndrome),急性闌尾炎(acute appendicitis),C,Billroth II 術後出現餐後上腹痛、吐膽汁後緩解及澱粉酶升高，符合輸入環阻塞造成膽汁與胰液滯留。,胃腫瘤及消化性潰瘍之外科治療,,蔡先生的症狀和檢查結果顯示他可能患有輸入環症候群，這是一種由於胃空腸吻合術後導致的併發症。患者在進食後出現上腹痛和嘔吐，並且血中澱粉酶升高，這表明可能存在膽汁和胰液的滯留。這種情況需要進一步的診斷和治療，以防止更嚴重的併發症。
79,有關Lynch syndrome(HNPCC)的敘述，錯誤者為哪一項？,與遺傳性症候群(genetic syndrome)相關的大腸直腸癌(CRC)中，最常見的原因。,是一種自體顯性遺傳(autosomal dominant)的疾病。,"與錯配修復(mismatch repair, MMR)基因中的缺陷有關。",最常見的腸道外惡性腫瘤是肝癌。,D,最常見的腸道外癌症為子宮內膜癌而非肝癌。,腸腫瘤，阻塞，直腸肛門疾病及外科治療,,Lynch syndrome，又稱為遺傳性非息肉性結腸癌（HNPCC），是一種自體顯性遺傳疾病，與錯配修復基因的缺陷有關。選項D的說法不正確，因為最常見的腸道外惡性腫瘤是子宮內膜癌，而非肝癌。這一點對於理解Lynch syndrome的臨床意義和風險評估非常重要。
80,"有關 Meckel’s diverticulum 的敘述如下:何者錯誤?
(1) 是腸胃道中最常見的先天性 anomaly。
(2) 主要是 vitelline duct 的關閉不完全所造成。
(3) 男女發生比例是 2 比 1,通常發生在離迴盲瓣約 60 公分內的末端迴腸。
(4) 約 20 至 40%的患者在其一生中會出現併發症。",12,4,14,124,B,Meckel 憩室源於卵黃腸管未完全閉合，終生發生症狀或併發症的風險約僅4～6%，不是20～40%。,腸腫瘤，阻塞，直腸肛門疾病及外科治療,,Meckel's diverticulum 是一種常見的先天性腸道異常，通常源於卵黃管的閉合不全。雖然其發生率相對較高，但終生出現併發症的風險實際上僅為4%至6%。這與選項中提到的20%至40%的風險有顯著差異，顯示出該選項的錯誤。Meckel's diverticulum 可能導致出血、腸梗阻或腫瘤等併發症，但並非所有患者都會出現這些問題，因此了解其實際風險對於臨床管理至關重要。
81,"有關腸阻塞(small bowel obstruction, ileus)的敘述：錯誤者為哪一項？",腹部手術是最常見的 etiology。,腹脹(abdominal distension)常見於近端小腸的阻塞，嘔吐(vomiting)常見於遠端小腸。,術後早期小腸阻塞(early post-operation small bowel obstruction)的定義是指術後30 天內發生的小腸阻塞。,術後早期小腸阻塞(early post-operation small bowel obstruction)的發生率(incidence)為1 to 4%。,B,近端小腸阻塞較早且較常嘔吐，遠端阻塞則因腸內容物累積而腹脹較明顯，選項將兩者顛倒。,腸腫瘤，阻塞，直腸肛門疾病及外科治療,,腸阻塞的臨床表現因阻塞部位而異。近端小腸阻塞通常會導致早期嘔吐，而腹脹則更常見於遠端小腸阻塞。這是因為近端阻塞會迅速影響腸道的內容物排出，導致嘔吐，而遠端阻塞則因腸內容物的積聚而引起腹脹。選項B的描述顛倒了這兩者的特徵，因此被認為是錯誤的。了解這些差異對於正確診斷和治療腸阻塞至關重要。
82,"有關胃腸道間質瘤(Gastrointestinal stromal tumor, GIST)的敘述，下列何者不正確？",最常見的基因突變是KIT gene mutation，且突變位置最常見於exon 9。,通常不會有淋巴結的轉移，所以淋巴結清除不是術中必須執行的動作。,最常發生於胃(stomach），約佔80%。,若是 KIT gene mutation，exon 9 mutation 比exon 11 mutation 對於Imatinib (Glevic）的反應會更不好。,A、C,KIT 突變最常位於exon 11 而非exon 9；此外GIST 約56～60%發生於胃。,腸腫瘤，阻塞，直腸肛門疾病及外科治療,,胃腸道間質瘤（GIST）是一種源自腸道間質細胞的腫瘤，最常見的基因突變是KIT基因突變，通常位於exon 11，而非exon 9。這一點對於治療反應至關重要，因為不同的突變位置可能影響對Imatinib（Glevic）的反應。此外，GIST的發生率在胃部約為56%至60%，而非80%。這些知識對於臨床診斷和治療策略的制定具有重要意義。
83,有關大腸憩室(colonic diverticulum)及肛門疾病的敘述，以下何者不正確？,大部分屬於假性憩室(false diverticula)，只侵犯到mucosa 到submucosa layers。,發生的位置在西方人以sigmoid colon 較常見，東方人跟年輕人則以right-sided colon 較常見。,一個外開口(external orifice)在5 點鐘方向的簡單型肛門瘻管(simple anal fistula)，依據Goodsall’s rule 的原則，其內開口位於肛門內6 點鐘方向。,肛裂最容易發生在 posterior midline(6 點鐘方向)，其手術方式最常以在其肛裂的位置旁直接將內括約肌(internal sphincter)切開以釋放壓力(internal sphincterotomy)。,A、D,大腸假性憩室為黏膜及黏膜下層穿過肌層形成，而肛裂手術應採側方內括約肌切開術(lateral internal sphincterotomy)，並非在肛裂處直接切開。,腸腫瘤，阻塞，直腸肛門疾病及外科治療,,大腸憩室主要是由於腸道壁的弱點導致的，通常是假性憩室，僅侵犯到黏膜和黏膜下層。選項A的描述不正確，因為假性憩室的形成涉及到肌層的穿透。至於肛裂，最常見的發生位置是肛門的後中線（6點鐘方向），而正確的手術方式應為側方內括約肌切開術，而非直接在肛裂處進行切開。這些知識對於臨床診斷和治療方案的選擇至關重要。
84,門診有一位病人來看診時，主訴如廁時大號發現肛門口有 prolapsed mass，且必須用手才能推回肛門內，用衛生紙擦屁屁時，有鮮血在衛生紙上，請問若是診斷為痔瘡(hemorrhoids)，則為第幾度(Grade)?,Grade I,Grade II,Grade III,Grade VI,C,用手才能推回去是Grade III,腸腫瘤，阻塞，直腸肛門疾病及外科治療,,痔瘡的分級主要依據其脫垂的程度來判斷。Grade I 痔瘡不脫垂，Grade II 痔瘡在排便時脫垂但可自行回納，Grade III 痔瘡則需要用手推回。根據病人的描述，肛門口有脫垂的腫塊且必須用手才能推回，這明確符合Grade III的定義。因此，正確答案為C。了解痔瘡的分級對於選擇適當的治療方案至關重要。
85,"對於這名患者的初步評估,以下何者較不適當?",做病史詢問有無噁心、嘔吐，以及解便情形，腹痛有無右下腹轉移(RLQ migration)狀況。,"施作理學檢查,如McBurney's point, Rovsing's sign 等,輔助臨床判斷。","超音波對於此類患者評估毫無幫助,不用浪費時間執行,應直接安排電腦斷層評估有無手術適應症。",安排抽血，確認血球計數和血液生化等數值评估各項感染指標。,C,CT 輻射量高，因此超音波在臨床上還是會用,急性闌尾炎、大腸傷害及腸系膜疾病,,在急性闌尾炎的初步評估中，病史詢問和理學檢查是非常重要的步驟。雖然CT掃描是診斷的金標準，但由於其輻射風險，尤其是在年輕患者或孕婦中，超音波仍然是一個有用的初步評估工具。選項C的說法過於絕對，忽略了超音波在臨床評估中的價值，因此被認為是不適當的。
86,理學檢查發現右下腹輕微微壓痛(tendemess)，但無輕輕微肌肉体硬(muscle guarding)和反彈痛(rebounding pain)，量測患者體温為37.0 ° C。抽血報告發現白血球(WBC)16500/ul，指数(CRP)6.35mg/L。有關本患者後續處置，下列何者较不適當?,安排住院抗生素治療，在12~24 小時後追踪腹痛症狀及各項抽血指数。,抗生素治療在此類患者没有幫助，依照治療指引建議，立即安排闌尾切除術切除病灶。,照會婦產科，協請評估胎兒活動狀況並評估有無會陰部或骨盆腔感染。,採集患者尿液，評估有無泌尿道感染，同時檢驗β-hCG 數值確認患者懷孕狀況。,B,"根據文本第一篇文章的第二段「Based on recent national and international data, antibiotics are an effective option for the treatment of uncomplicated appendicitis in adults.」可能有效，只是在懷孕族群沒有被證實，如果說因為抗生素沒有幫助就立即安排手術，可能有所疑慮",急性闌尾炎、大腸傷害及腸系膜疾病,,在處理懷孕患者的急性闌尾炎時，抗生素治療被認為是一個有效的選擇，特別是在未經證實的情況下，立即進行手術可能會帶來不必要的風險。選項B的建議過於激進，未考慮到抗生素可能的療效，尤其是在懷孕患者中。因此，這一選項被認為是不適當的。
87,患者先生查閱網路資料，擔心可能是闡尾炎，因此向你/妳詢問孕婦接受闌尾炎手術的細節，請問下列何項敘述較不適當?,九成以上的闌尾炎手術可以用微創的腹腔鏡切除術完成,使用二氧化碳建立氣腹，已完成腹腔鏡手術，氣腹的壓力及生理狀態改變，對於胎兒和母親是安全的,闌尾發炎潰瘍及衍生的腹內膿瘡，對於木欽及胎兒的布利影響，高於接受手術所伴隨的麻醉及手術風險。,針對孕婦這樣的特殊族群，建立氣腹時應使用導氣針法達到為創目的，而非迷你開腹法,D,"根據文本內容「However, there are additional considerations in late gestation, such as the safety of laparoscopy when an enlarged uterus may prevent usual port site placement, limit working space, and be in harms' way during the case.」，為了避免戳到膨大的子宮，通常會使用迷你開腹法而非導氣針法",急性闌尾炎、大腸傷害及腸系膜疾病,,在孕婦進行闌尾炎手術時，使用腹腔鏡技術是可行的，但在晚期妊娠中，考慮到子宮的大小和位置，通常會選擇迷你開腹法而非導氣針法。選項D的說法不正確，因為在這種情況下，迷你開腹法更為安全，能有效避免對膨脹子宮的潛在傷害。
88,對於大腸損傷，以下何者較不適當?,大腸損傷的機轉可分為鈍挫傷(Blunt trauma) 及穿刺傷(Penetrating trauma)兩大類,大腸鈍挫傷(Blunt trauma)機轉中，又可分為腸腔內壓力竄高造成的破損，和減速力(Deceleration force)造成的固定韌帶拉扯損傷,外傷患者若生命微象尚屬穩定，可安排電腦斷層攝影，做較全面的評估來擬訂處置計畫。,"外傷患者若懷疑大腸破損，可安排大腸鏡檢視整個大腸管腔,確認並定位破損位置，再擬定修補計畫。",D,大腸破損是大腸鏡的禁忌症,急性闌尾炎、大腸傷害及腸系膜疾病,,對於懷疑大腸損傷的患者，進行大腸鏡檢查是禁忌的，因為這可能會導致進一步的損傷或出血。大腸損傷的評估應依賴影像學檢查，如CT掃描，而不是大腸鏡。選項D的建議不適當，因為它忽略了大腸鏡檢查的潛在風險，這對於患者的安全至關重要。
89,"你是一位閱讀過上文的住院醫師,一名75 歲女性由救護車送入急診，家屬代述患者因中風無法言語表達，本還有心房顫動病史。近兩日機構發現發腹脹合併發燒，藥物治療無改善跡象，因此送來急診。抽血檢查WBC=13250/uL, CRP=156 mg/L, Amylase Lipase = 153/212 U/L, Lactate = 1.77 mol/L, BUN/Cr = 45/2.17 mg/dL, 診視患者發現些微肌肉僵硬(muscle guarding)，但無法表達是否有反彈痛(rebounding pain)。關於此患者，下列何項處置較不適當?",先給予輸液和抗生素治療，並聯絡外科值班醫師評估是否手術介入,由於Lactate 還在正常範圍，並未高出>2 mmol/L，判定無腸缺血可能，判定無手術需求，簽入腸胃內科病房住院藥物治療即可。,安排無顯影劑電腦斷層進一步評估腹內狀況，若高度懷疑腸缺血，和家屬說明風險後，可在輸液不沖後進行CTA(computed tomography angiography)檢查，評估腸道血管狀況。,安排6 小時後再次追蹤各項抽血數據指標觀察各項數值異動狀況,B,根據文本「differentiation of early ischemia versus irreversible bowel injury based upon the lactate level alone is not reliable unless accompanied by other clinical evidence.」，不可以單憑乳酸判定使否有腸缺血的可能,急性闌尾炎、大腸傷害及腸系膜疾病,,在評估懷疑腸缺血的患者時，僅依賴乳酸水平來判斷是否存在腸缺血是不夠的，因為早期缺血的症狀可能不明顯。即使乳酸水平在正常範圍內，仍需考慮其他臨床證據。因此，選項B的建議不適當，應進一步評估患者的狀況，以確保不會錯過潛在的腸道缺血。
90,"承上題,患者接受了電腦斷層檢查,影像如下:(圖六) 腸道脹大、腸氣多，並未發現門脈空氣(Portal vein gas)也沒有 Pneumatosis intestinalis 徵象，顯影劑下無明顯腸道灌流缺損。經過初步治療後，血壓由原本的113/86 mmHg 變成92/62 mmHg，請問下列何項處置何者較不適當?",影像學證實無腸道缺血徵狀，判定無手術需求，持續輸液和抗生素等藥物治療，由於血壓下降懷疑休克，改入住內科加護病房治療。,並非每一位腸缺血患者都會有典型影像學徵狀，聯絡值班影像科醫師判讀影像，檢查是否有非典型影像學表現。,"需要緊急剖腹手術的狀況並非只有腸缺血一種，腹內膿痛、嚴重腸阻塞、空心臟器破損都可能有類似表現,因此聯絡外科值班醫師評估是否有手術需求。","病人已有輕微休克徵狀，架設頸部中央靜脈導管加強輸液,評估體液狀態決定是否給予升壓劑治療。",A,影像學沒看到不代表沒有腸缺血，而且病人已經快要休克了，可能有一些腹內急症，不可以直接排除外科介入的可能,急性闌尾炎、大腸傷害及腸系膜疾病,,在這道題目中，患者的影像學檢查未顯示腸道缺血的明顯徵象，但血壓下降至92/62 mmHg，顯示出患者可能處於休克狀態。選擇(A)的處置不適當，因為即使影像學未顯示腸缺血，患者的臨床狀況仍需謹慎評估。腸缺血的診斷有時可能不明顯，且患者的休克狀態可能由其他急腹症引起，因此不應排除外科介入的可能性。持續的輸液和抗生素治療是必要的，但在這種情況下，應考慮進一步的外科評估以確保患者的安全。
91,進行肝癌之手術切除時，為減少出血量經常會進行Pringle’s maneuver，請問是clamp 下列那一個ligament？,Ligamentum venosum,Falciform ligament,Round ligament,Hepatoduodenal ligament,D,Hepatoduodenal ligament 包住hepatic a.、portal v.、bile duct，夾住此韌帶可減少血液進入肝臟，控制手術中的失血,肝腫瘤和創傷的手術治療,,在肝癌手術中，Pringle's maneuver是一種常用的技術，旨在減少手術過程中的出血。這一技術涉及夾住肝臟的Hepatoduodenal ligament，該韌帶包含肝動脈、門靜脈和膽管。通過夾住這個韌帶，可以有效地減少血液流入肝臟，從而降低手術中的出血風險。這對於進行肝臟切除手術的外科醫生來說是非常重要的，因為肝臟的血供豐富，控制出血是手術成功的關鍵之一。
92,針對肝臟腫瘤的外科切除，外科醫師有時須進行right trisegmentectomy，根據Couinaud’s segmentation (S) n 之定義，切除的部分是下列那一種分葉組合？,S2+S3+S4+,S4+S5+S6,S5+S6+S7,S4+S5+S6+S7+S8,D,Right trisegmentectomy 也常被稱為Extended right hepatectomy，切除的範圍包括整個肝右葉(S5+S6+S7+S8)以及肝左葉的內側(S4),肝腫瘤和創傷的手術治療,,在肝臟腫瘤的外科切除中，right trisegmentectomy是一種重要的手術方式，通常稱為擴展右肝切除。根據Couinaud的分葉系統，這種手術涉及切除肝臟的右側三個分葉(S5、S6、S7)以及左側的內側分葉(S4)。這樣的切除範圍能夠有效地去除腫瘤，並確保周圍的健康組織得到保留，從而提高患者的預後。
93,以腹腔鏡進行肝癌之微創切除手術(minimally invasive surgery)，減少手術中出血量的方法，下來何者不是好的選擇？,增加氣腹壓力（pneumoperitonium）,減少中央静脈壓（central vein pressure）,進行continuous Pringle's maneuver,進行anatomic resection,C,不會進行continuous Pringle's maneuver，因為有缺血壞死的風險。一般會夾住韌帶15 分鐘後放開5 分鐘，重複數次。,肝腫瘤和創傷的手術治療,,在進行腹腔鏡肝癌微創切除手術時，減少出血量是手術成功的關鍵之一。選擇(C)的continuous Pringle's maneuver並不是一個好的選擇，因為這樣做會增加缺血壞死的風險。通常，外科醫生會在手術中夾住韌帶15分鐘，然後放開5分鐘，這樣可以有效地控制血流而不會造成持續的缺血。這種間歇性的夾住方式能夠在減少出血的同時，保護肝臟的血供，確保手術的安全性。
